"x","y"
0.0,1.000
0.1,1.100
0.2,1.199
0.3,1.296
0.4,1.389
0.5,1.479
0.6,1.565
0.7,1.644
0.8,1.717
0.9,1.783
1.0,1.841
1.1,1.891
1.2,1.932
1.3,1.964
1.4,1.985
1.5,1.997
1.6,2.000
1.7,1.992
1.8,1.974
1.9,1.946
2.0,1.909
2.1,1.863
2.2,1.808
2.3,1.746
2.4,1.675
2.5,1.598
2.6,1.516
2.7,1.427
2.8,1.335
2.9,1.239
3.0,1.141
3.1,1.042
3.2,0.942
3.3,0.842
3.4,0.744
3.5,0.649
3.6,0.557
3.7,0.470
3.8,0.388
3.9,0.312
4.0,0.243
4.1,0.182
4.2,0.128
4.3,0.084
4.4,0.048
4.5,0.022
4.6,0.006
4.7,0.000
4.8,0.004
4.9,0.018
5.0,0.041
5.1,0.074
5.2,0.117
5.3,0.168
5.4,0.227
5.5,0.294
5.6,0.369
5.7,0.449
5.8,0.535
5.9,0.626
6.0,0.721
6.1,0.818
6.2,0.917
6.3,1.017
6.4,1.117
6.5,1.215
6.6,1.312
6.7,1.405
6.8,1.494
6.9,1.578
7.0,1.657
7.1,1.729
7.2,1.794
7.3,1.850
7.4,1.899
7.5,1.938
7.6,1.968
7.7,1.988
7.8,1.999
7.9,1.999
8.0,1.989
8.1,1.970
8.2,1.941
8.3,1.902
8.4,1.855
8.5,1.798
8.6,1.734
8.7,1.663
8.8,1.585
8.9,1.501
9.0,1.412
9.1,1.319
9.2,1.223
9.3,1.124
9.4,1.025
9.5,0.925
9.6,0.826
9.7,0.728
9.8,0.634
9.9,0.542
10.0,0.456
10.1,0.375
10.2,0.300
10.3,0.232
10.4,0.172
10.5,0.120
10.6,0.077
10.7,0.043
10.8,0.019
10.9,0.005
11.0,0.000
11.1,0.005
11.2,0.021
11.3,0.046
11.4,0.081
11.5,0.125
11.6,0.177
11.7,0.238
11.8,0.306
11.9,0.382
12.0,0.463
12.1,0.550
12.2,0.642
12.3,0.737
12.4,0.834
12.5,0.934
12.6,1.034
12.7,1.133
12.8,1.232
12.9,1.327
13.0,1.420
13.1,1.509
13.2,1.592
13.3,1.670
13.4,1.740
13.5,1.804
13.6,1.859
13.7,1.906
13.8,1.944
13.9,1.972
14.0,1.991
14.1,1.999
14.2,1.998
14.3,1.987
14.4,1.966
14.5,1.935
14.6,1.895
14.7,1.846
14.8,1.788
14.9,1.723
15.0,1.650
