"t","p","V","P","Angle"
-0.7143,0.9986,0,0,0
-0.7143,0.99789,0.805,0.24871,0.04444
-0.7143,0.99579,0.995,0.12534,0.74444
-0.7143,0.99719,0.23,0.00169,0.72222
-0.7143,1,0.895,0.27482,0.23333
-0.7143,0.99438,0.105,0.00052,0.1
-0.7143,0.98947,0.245,0.00057,0.92222
-0.7143,0.98455,0.665,0.09973,0.31111
-0.7143,0.98736,0.495,0.00865,0.85556
-0.5714,0.97887,0.28,0.0068,0.36667
-0.5714,0.97817,0.34,0.00598,0.68889
-0.5714,0.98448,0.695,0.10282,0.37778
-0.5714,0.97817,0.63,0.06658,0.45556
-0.5714,0.97115,0.955,0.17387,0.58889
-0.5714,0.97746,0.695,0.04922,0.7
-0.5714,0.97255,0.14,0.00037,0.72222
-0.5714,0.96553,0.05,4.00E-05,0.33333
-0.5714,0.96553,0.385,0.00367,0.86667
-0.5714,0.96764,0.165,0.00014,0.93333
-0.4286,0.95991,0.56,0.06462,0.23333
-0.4286,0.96342,0.64,0.02946,0.76667
-0.4286,0.95781,0.58,0.0488,0.47778
-0.4286,0.96202,0.18,0.00184,0.34444
-0.4286,0.96764,0.455,0.02684,0.41111
-0.4286,0.96483,0.235,0.0048,0.23333
-0.4286,0.95991,0.94,0.31892,0.2
-0.4286,0.9571,0.835,0,1
-0.4286,0.96413,0.035,1.50E-05,0.27778
-0.4286,0.96413,0.215,0.00463,0.03333
-0.2857,0.94166,0.49,0.03508,0.36667
-0.2857,0.94026,0.355,0.01145,0.45556
-0.2857,0.93464,0.69,0.09382,0.38889
-0.2857,0.93675,0.755,0.01344,0.93333
-0.2857,0.94166,0.945,0.34436,0.13333
-0.2857,0.94587,0.58,0.00718,0.92222
-0.2857,0.94096,0.12,0.00016,0.8
-0.2857,0.94377,0.325,0.00522,0.67778
-0.2857,0.94938,1,0.29009,0.38889
-0.2857,0.94868,0.26,0.00787,0.05556
-0.1429,0.92411,0.91,0.11219,0.67778
-0.1429,0.9227,0.03,7.10E-06,0.43333
-0.1429,0.92551,0.45,0.00375,0.91111
-0.1429,0.91919,0.815,0.16587,0.33333
-0.1429,0.91849,0.335,0.01727,0
-0.1429,0.92551,0.395,0.02852,0
-0.1429,0.93183,0.195,0.00077,0.77778
-0.1429,0.93604,0.29,0.01129,0.01111
-0.1429,0.93253,0.285,0.00132,0.87778
-0.1429,0.92621,0.285,0.00048,0.95556
0,0.90705,0.325,0.01488,0.04444
0,0.90915,0.555,0.06044,0.22222
0,0.90143,0.92,0.08189,0.76667
0,0.91126,0.275,0.00948,0
0,0.89441,0.91,0.04493,0.86667
0,0.90775,0.565,0.04457,0.45556
0,0.89862,0.27,0.00698,0.21111
